"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup","padj","log2FoldChange"
"LOC_Osp1g00670.1","LOC_Osp1g00670","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00750.1","2","protein_coding","ribosomal protein S11","30S chloroplast ribosomal protein S11","""ribosomal protein S11 (RPS11); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S11, bacterial-type (InterPro:IPR019981), Ribosomal protein S11 (InterPro:IPR001971), Ribosomal S11, conserved site (InterPro:IPR018102); BEST Arabidopsis thaliana protein match is: Ribosomal protein S11 family protein (TAIR:AT3G52580.1).""","RPS11","ribosomal protein S11","RPS11","-","ribosomal protein S11","ribosomal protein S11 (RPS11)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S11%2C bacterial-type (InterPro:IPR019981)%2C Ribosomal protein S11 (InterPro:IPR001971)%2C Ribosomal S11%2C conserved site (InterPro:IPR018102)%3B BEST Arabidopsis thaliana protein match is: Ribosomal protein S11 family protein (TAIR:AT3G52580.1).","""PMID:15489280,PMID:18650403,locus:504954698""","protein_coding","30S chloroplast ribosomal protein S11","-","-","data",0.0452291868270495,1.89589419755716
"LOC_Osp1g00680.1","LOC_Osp1g00680","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00760.1","2","protein_coding","ribosomal protein L36","""encodes a chloroplast ribosomal protein L36, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L36 (RPL36); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L36 (InterPro:IPR000473); BEST Arabidopsis thaliana protein match is: Ribosomal protein L36 (TAIR:AT5G20180.2).""","RPL36","ribosomal protein L36","RPL36","-","ribosomal protein L36","ribosomal protein L36 (RPL36)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L36 (InterPro:IPR000473)%3B BEST Arabidopsis thaliana protein match is: Ribosomal protein L36 (TAIR:AT5G20180.2).","""PMID:18650403,PMID:23263857,locus:504954699""","protein_coding","encodes a chloroplast ribosomal protein L36%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.0460501051363196,2.13123871275528
"LOC_Osp1g00690.1","LOC_Osp1g00690","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.00166553617589263,2.4293511577916
"LOC_Osp1g00700.1","LOC_Osp1g00700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00770.1","2","protein_coding","ribosomal protein S8","chloroplast 30S ribosomal protein S8","""ribosomal protein S8 (RPS8); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S8 (InterPro:IPR000630).""","RPS8","ribosomal protein S8","RPS8","-","ribosomal protein S8","ribosomal protein S8 (RPS8)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S8 (InterPro:IPR000630).","""PMID:11971146,PMID:18431481,PMID:18650403,locus:504954700""","protein_coding","chloroplast 30S ribosomal protein S8","-","-","data",0.0262132355081134,1.70623560107139
"LOC_Osp1g00710.1","LOC_Osp1g00710","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00780.1","2","protein_coding","ribosomal protein L14","""encodes a chloroplast ribosomal protein L14, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L14 (RPL14); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L14, bacterial-type (InterPro:IPR005745), Ribosomal protein L14b/L23e (InterPro:IPR000218), Ribosomal protein L14 conserved site (InterPro:IPR019972); BEST Arabidopsis thaliana protein match is: Ribosomal protein L14p/L23e family protein (TAIR:AT5G46160.2).""","RPL14","ribosomal protein L14","RPL14","-","ribosomal protein L14","ribosomal protein L14 (RPL14)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L14%2C bacterial-type (InterPro:IPR005745)%2C Ribosomal protein L14b/L23e (InterPro:IPR000218)%2C Ribosomal protein L14 conserved site (InterPro:IPR019972)%3B BEST Arabidopsis thaliana protein match is: Ribosomal protein L14p/L23e family protein (TAIR:AT5G46160.2).","""PMID:17873090,PMID:18431481,PMID:18650403,PMID:21571540,PMID:24064926,locus:504954701""","protein_coding","encodes a chloroplast ribosomal protein L14%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.0416104387001477,1.48791510616505
"LOC_Osp1g00720.1","LOC_Osp1g00720","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00790.1","2","protein_coding","ribosomal protein L16","""chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit""","""ribosomal protein L16 (RPL16); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L16 (InterPro:IPR000114), Ribosomal protein L10e/L16 (InterPro:IPR016180), Ribosomal protein L16, conserved site (InterPro:IPR020798); BEST Arabidopsis thaliana protein match is: PLANT U-BOX 12 (TAIR:AT2G28830.1).""","RPL16","ribosomal protein L16","RPL16","-","ribosomal protein L16","ribosomal protein L16 (RPL16)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L16 (InterPro:IPR000114)%2C Ribosomal protein L10e/L16 (InterPro:IPR016180)%2C Ribosomal protein L16%2C conserved site (InterPro:IPR020798)%3B BEST Arabidopsis thaliana protein match is: PLANT U-BOX 12 (TAIR:AT2G28830.1).","""PMID:18650403,locus:504954702""","protein_coding","chloroplast gene encoding a ribosomal protein L16%2C which is a constituent of 50S large ribosomal subunit","-","-","data",0.0057174976771764,2.2109105561145
"LOC_Osp1g00730.1","LOC_Osp1g00730","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00800.1","2","protein_coding","structural constituent of ribosome","""encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex""","""RESISTANCE TO PSEUDOMONAS SYRINGAE 3 (RPS3); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast, nucleoid, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: K Homology, prokaryotic type (InterPro:IPR009019), K Homology, type 2 (InterPro:IPR004044), Ribosomal protein S3, N-terminal (InterPro:IPR008282), K homology-like, alpha/beta (InterPro:IPR015946), Ribosomal protein S3, conserved site (InterPro:IPR018280), Ribosomal protein S3, C-terminal (InterPro:IPR001351), Ribosomal protein S3, bacterial (InterPro:IPR005704); BEST Arabidopsis thaliana protein match is: structural constituent of ribosome;protein binding (TAIR:ATMG00090.1).""","-","structural constituent of ribosome","RPS3","-","RESISTANCE TO PSEUDOMONAS SYRINGAE 3","RESISTANCE TO PSEUDOMONAS SYRINGAE 3 (RPS3)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast%2C nucleoid%2C membrane%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: K Homology%2C prokaryotic type (InterPro:IPR009019)%2C K Homology%2C type 2 (InterPro:IPR004044)%2C Ribosomal protein S3%2C N-terminal (InterPro:IPR008282)%2C K homology-like%2C alpha/beta (InterPro:IPR015946)%2C Ribosomal protein S3%2C conserved site (InterPro:IPR018280)%2C Ribosomal protein S3%2C C-terminal (InterPro:IPR001351)%2C Ribosomal protein S3%2C bacterial (InterPro:IPR005704)%3B BEST Arabidopsis thaliana protein match is: structural constituent of ribosome%3Bprotein binding (TAIR:ATMG00090.1).","""PMID:18650403,locus:504954703""","protein_coding","encodes a chloroplast ribosomal protein S3%2C a constituent of the small subunit of the ribosomal complex","-","-","data",0.00166553617589263,2.61102804716666
"LOC_Osp1g00740.1","LOC_Osp1g00740","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00810.1","2","protein_coding","ribosomal protein L22","""encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L22 (RPL22); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L22/L17 (InterPro:IPR001063), Ribosomal protein L22, bacterial-type (InterPro:IPR005727), Ribosomal protein L22/L17, conserved site (InterPro:IPR018260); BEST Arabidopsis thaliana protein match is: Ribosomal protein L22p/L17e family protein (TAIR:AT4G28360.1).""","RPL22","ribosomal protein L22","RPL22","-","ribosomal protein L22","ribosomal protein L22 (RPL22)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L22/L17 (InterPro:IPR001063)%2C Ribosomal protein L22%2C bacterial-type (InterPro:IPR005727)%2C Ribosomal protein L22/L17%2C conserved site (InterPro:IPR018260)%3B BEST Arabidopsis thaliana protein match is: Ribosomal protein L22p/L17e family protein (TAIR:AT4G28360.1).","""PMID:18650403,PMID:16247559,locus:504954704""","protein_coding","encodes a chloroplast ribosomal protein L22%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.00166553617589263,2.69580487030515
"LOC_Osp1g00770.1","LOC_Osp1g00770","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0416104387001477,1.35070191925367
"LOC_Osp1g00780.1","LOC_Osp1g00780","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0349101154499729,1.78652731956918
"LOC_Osp1g00890.1","LOC_Osp1g00890","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01020.1","2","protein_coding","ribosomal protein L32","""encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex""","ribosomal protein L32 (RPL32); CONTAINS InterPro DOMAIN/s: Ribosomal protein L32p (InterPro:IPR002677).","RPL32","ribosomal protein L32","RPL32","-","ribosomal protein L32","ribosomal protein L32 (RPL32)%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L32p (InterPro:IPR002677).","""PMID:18650403,locus:504954725""","protein_coding","encodes a chloroplast ribosomal protein L32%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.0126612494047773,2.08931195614963
"LOC_Osp1g00910.1","LOC_Osp1g00910","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01050.1","2","protein_coding","NADH-Ubiquinone/plastoquinone (complex I) protein","Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex.  Its mRNA is edited at four positions.  Translation data is not available for this gene.","""NDHD; FUNCTIONS IN: oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: oxidation reduction, ATP synthesis coupled electron transport; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH-quinone oxidoreductase, chain M (InterPro:IPR010227), NADH:ubiquinone/plastoquinone oxidoreductase (InterPro:IPR001750), NADH:ubiquinone oxidoreductase, chain 4 (InterPro:IPR003918); BEST Arabidopsis thaliana protein match is: NADH dehydrogenase subunit 4 (TAIR:ATMG00580.1).""","NDHD","NADH-plastoquinone oxidoreductase subunit","NDHD","-","-","NDHD%3B FUNCTIONS IN: oxidoreductase activity%2C acting on NADH or NADPH%3B INVOLVED IN: oxidation reduction%2C ATP synthesis coupled electron transport%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH-quinone oxidoreductase%2C chain M (InterPro:IPR010227)%2C NADH:ubiquinone/plastoquinone oxidoreductase (InterPro:IPR001750)%2C NADH:ubiquinone oxidoreductase%2C chain 4 (InterPro:IPR003918)%3B BEST Arabidopsis thaliana protein match is: NADH dehydrogenase subunit 4 (TAIR:ATMG00580.1).","""PMID:12736308,PMID:11675592,PMID:16465445,PMID:17015439,PMID:17483454,PMID:17726051,PMID:18650403,PMID:18854313,PMID:18824480,locus:504954728""","protein_coding","Represents a plastid-encoded subunit of a NAD(P)H dehydrogenase complex.  Its mRNA is edited at four positions.  Translation data is not available for this gene.","-","-","data",0.00517746959057498,2.26484683247296
"LOC_Osp1g00930.1","LOC_Osp1g00930","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01070.1","2","protein_coding","NADH-ubiquinone/plastoquinone oxidoreductase chain 4L","NADH dehydrogenase ND4L","""NDHE; FUNCTIONS IN: NADPH dehydrogenase activity; INVOLVED IN: ubiquinone biosynthetic process; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/quinone oxidoreductase, chain 4L (InterPro:IPR001133).""","NDHE","NADH-ubiquinone/plastoquinone oxidoreductase chain 4L","NDHE","-","-","NDHE%3B FUNCTIONS IN: NADPH dehydrogenase activity%3B INVOLVED IN: ubiquinone biosynthetic process%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/quinone oxidoreductase%2C chain 4L (InterPro:IPR001133).","""PMID:8768377,PMID:14729914,PMID:16507087,PMID:18650403,locus:504954730""","protein_coding","NADH dehydrogenase ND4L","-","-","data",0.0428451184796996,2.88721183104525
"LOC_Osp1g00940.1","LOC_Osp1g00940","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01080.1","2","protein_coding","""NADH:ubiquinone/plastoquinone oxidoreductase, chain 6""","NADH dehydrogenase ND6","""NDHG; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 (InterPro:IPR001457).""","NDHG","NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 6","NDHG","-","-","NDHG%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 6 (InterPro:IPR001457).","""PMID:8768377,PMID:17419845,PMID:17726051,PMID:18650403,locus:504954731""","protein_coding","NADH dehydrogenase ND6","-","-","data",0.000726815108884233,4.04295190469258
"LOC_Osp1g00950.1","LOC_Osp1g00950","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01090.1","2","protein_coding","NADPH dehydrogenases","Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex","""NDHI; FUNCTIONS IN: NADPH dehydrogenase activity; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH-plastoquinone oxidoreductase, subunit I (InterPro:IPR004497), 4Fe-4S binding domain (InterPro:IPR001450), NADH-quinone oxidoreductase, chain I (InterPro:IPR010226), 4Fe-4S ferredoxin, iron-sulphur binding, conserved site (InterPro:IPR017900), 4Fe-4S ferredoxin, iron-sulpur binding domain (InterPro:IPR017896), Alpha-helical ferredoxin (InterPro:IPR009051); BEST Arabidopsis thaliana protein match is: Alpha-helical ferredoxin (TAIR:AT1G16700.1).""","NDHI","NADPH dehydrogenase","NDHI","-","-","NDHI%3B FUNCTIONS IN: NADPH dehydrogenase activity%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH-plastoquinone oxidoreductase%2C subunit I (InterPro:IPR004497)%2C 4Fe-4S binding domain (InterPro:IPR001450)%2C NADH-quinone oxidoreductase%2C chain I (InterPro:IPR010226)%2C 4Fe-4S ferredoxin%2C iron-sulphur binding%2C conserved site (InterPro:IPR017900)%2C 4Fe-4S ferredoxin%2C iron-sulpur binding domain (InterPro:IPR017896)%2C Alpha-helical ferredoxin (InterPro:IPR009051)%3B BEST Arabidopsis thaliana protein match is: Alpha-helical ferredoxin (TAIR:AT1G16700.1).","""PMID:8768377,PMID:14729914,PMID:16183833,PMID:16507087,PMID:18431481,PMID:18650403,PMID:20081115,locus:504954732""","protein_coding","Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex","-","-","data",0.00412046120935391,2.97923519781957
"LOC_Osp1g00960.1","LOC_Osp1g00960","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01100.1","2","protein_coding","NADH dehydrogenase family protein","NADH dehydrogenase ND1","""NDHA; FUNCTIONS IN: oxidoreductase activity, acting on NADH or NADPH; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase, subunit 1 (InterPro:IPR001694), NADH:ubiquinone oxidoreductase, subunit 1, conserved site (InterPro:IPR018086); BEST Arabidopsis thaliana protein match is: NADH dehydrogenase 1A (TAIR:ATMG01275.1).""","NDHA","NADH dehydrogenase family protein","NDHA","-","-","NDHA%3B FUNCTIONS IN: oxidoreductase activity%2C acting on NADH or NADPH%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH:ubiquinone oxidoreductase%2C subunit 1 (InterPro:IPR001694)%2C NADH:ubiquinone oxidoreductase%2C subunit 1%2C conserved site (InterPro:IPR018086)%3B BEST Arabidopsis thaliana protein match is: NADH dehydrogenase 1A (TAIR:ATMG01275.1).","""PMID:8768377,PMID:9380777,PMID:16183833,PMID:17432890,PMID:18065687,PMID:18431481,PMID:18650403,PMID:23975900,locus:504954733""","protein_coding","NADH dehydrogenase ND1","-","-","data",0.000726815108884233,3.19154894914134
"LOC_Osp1g00970.1","LOC_Osp1g00970","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG01110.1","2","protein_coding","NAD(P)H dehydrogenase subunit H","""Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4.""","""NAD(P)H dehydrogenase subunit H (NDHH); FUNCTIONS IN: NADPH dehydrogenase activity; INVOLVED IN: photosynthetic electron transport in photosystem II; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NADH-quinone oxidoreductase, subunit D (InterPro:IPR001135), NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site (InterPro:IPR014029); BEST Arabidopsis thaliana protein match is: NADH dehydrogenase subunit 7 (TAIR:ATMG00510.1).""","NDHH","NAD(P)H dehydrogenase subunit H","NDHH","-","NAD(P)H dehydrogenase subunit H","NAD(P)H dehydrogenase subunit H (NDHH)%3B FUNCTIONS IN: NADPH dehydrogenase activity%3B INVOLVED IN: photosynthetic electron transport in photosystem II%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NADH-quinone oxidoreductase%2C subunit D (InterPro:IPR001135)%2C NADH:ubiquinone oxidoreductase%2C 49kDa subunit%2C conserved site (InterPro:IPR014029)%3B BEST Arabidopsis thaliana protein match is: NADH dehydrogenase subunit 7 (TAIR:ATMG00510.1).","""PMID:9648738,PMID:8768377,PMID:15322131,PMID:16243785,PMID:18388109,PMID:18650403,PMID:19122188,PMID:20392519,PMID:21483722,PMID:23343119,locus:504954734""","protein_coding","Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor%2C SIG4.","-","-","data",0.03231440325084,1.93722460888236
"LOC_Osp1g01040.1","LOC_Osp1g01040","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00905.1","2","protein_coding","ribosomal protein S12C","chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.","""ribosomal protein S12C (RPS12C); CONTAINS InterPro DOMAIN/s: Ribosomal protein S12/S23 (InterPro:IPR006032), Nucleic acid-binding, OB-fold (InterPro:IPR012340), Nucleic acid-binding, OB-fold-like (InterPro:IPR016027), Ribosomal protein S12, bacterial-type (InterPro:IPR005679); BEST Arabidopsis thaliana protein match is: ribosomal protein S12B (TAIR:ATCG01230.1).""","""RPS12,RPS12C""","ribosomal protein S12C","RPS12C","""RPS12,RIBOSOMAL PROTEIN S12""","ribosomal protein S12C","ribosomal protein S12C (RPS12C)%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S12/S23 (InterPro:IPR006032)%2C Nucleic acid-binding%2C OB-fold (InterPro:IPR012340)%2C Nucleic acid-binding%2C OB-fold-like (InterPro:IPR016027)%2C Ribosomal protein S12%2C bacterial-type (InterPro:IPR005679)%3B BEST Arabidopsis thaliana protein match is: ribosomal protein S12B (TAIR:ATCG01230.1).","""PMID:1473714,PMID:18650403,locus:504954489""","protein_coding","chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.","-","-","data",0.0391190199741445,1.6158996596711
"LOC_Osp1g01090.1","LOC_Osp1g01090","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00840.1","2","protein_coding","ribosomal protein L23.1","""One of two chloroplast genes that encode chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L23.1 (RPL23.1); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; CONTAINS InterPro DOMAIN/s: Ribosomal protein L23/L25, conserved site (InterPro:IPR001014), Ribosomal protein L23/L15e, core (InterPro:IPR012678), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677), Ribosomal protein L25/L23 (InterPro:IPR013025); BEST Arabidopsis thaliana protein match is: ribosomal protein L23 (TAIR:ATCG01300.1).""","""RPL23,RPL23.1""","ribosomal protein L23.1","RPL23.1","""RPL23,RIBOSOMAL PROTEIN L23""","ribosomal protein L23.1","ribosomal protein L23.1 (RPL23.1)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L23/L25%2C conserved site (InterPro:IPR001014)%2C Ribosomal protein L23/L15e%2C core (InterPro:IPR012678)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%2C Ribosomal protein L25/L23 (InterPro:IPR013025)%3B BEST Arabidopsis thaliana protein match is: ribosomal protein L23 (TAIR:ATCG01300.1).","""PMID:1630923,PMID:17726051,PMID:18650403,locus:504954707""","protein_coding","One of two chloroplast genes that encode chloroplast ribosomal protein L23%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.0349101154499729,1.78652731956918
